   1: max:0.090, min:0.008, mean:0.043
   2: max:0.090, min:0.025, mean:0.051
   3: max:0.098, min:0.033, mean:0.063
   4: max:0.098, min:0.041, mean:0.072
   5: max:0.098, min:0.049, mean:0.081
   6: max:0.098, min:0.049, mean:0.087
   7: max:0.107, min:0.074, mean:0.090
   8: max:0.107, min:0.082, mean:0.092
   9: max:0.107, min:0.082, mean:0.094
  10: max:0.115, min:0.082, mean:0.096
  11: max:0.115, min:0.082, mean:0.099
  12: max:0.123, min:0.090, mean:0.103
  13: max:0.123, min:0.098, mean:0.106
  14: max:0.123, min:0.098, mean:0.110
  15: max:0.123, min:0.098, mean:0.113
  16: max:0.123, min:0.098, mean:0.117
  17: max:0.131, min:0.107, mean:0.120
  18: max:0.131, min:0.107, mean:0.122
  19: max:0.131, min:0.115, mean:0.123
  20: max:0.139, min:0.115, mean:0.125
  21: max:0.139, min:0.115, mean:0.127
  22: max:0.139, min:0.115, mean:0.128
  23: max:0.139, min:0.115, mean:0.129
  24: max:0.139, min:0.107, mean:0.131
  25: max:0.148, min:0.115, mean:0.132
  26: max:0.148, min:0.115, mean:0.134
  27: max:0.148, min:0.123, mean:0.136
  28: max:0.148, min:0.131, mean:0.139
  29: max:0.156, min:0.123, mean:0.140
  30: max:0.156, min:0.123, mean:0.142
  31: max:0.156, min:0.131, mean:0.145
  32: max:0.156, min:0.123, mean:0.147
  33: max:0.164, min:0.131, mean:0.150
  34: max:0.172, min:0.139, mean:0.151
  35: max:0.172, min:0.139, mean:0.154
  36: max:0.172, min:0.139, mean:0.156
  37: max:0.172, min:0.139, mean:0.158
  38: max:0.172, min:0.148, mean:0.159
  39: max:0.172, min:0.139, mean:0.162
  40: max:0.180, min:0.139, mean:0.164
  41: max:0.180, min:0.148, mean:0.167
  42: max:0.180, min:0.148, mean:0.169
  43: max:0.189, min:0.156, mean:0.173
  44: max:0.189, min:0.156, mean:0.174
  45: max:0.189, min:0.164, mean:0.177
  46: max:0.189, min:0.164, mean:0.177
  47: max:0.189, min:0.164, mean:0.179
  48: max:0.197, min:0.164, mean:0.180
  49: max:0.197, min:0.164, mean:0.183
  50: max:0.197, min:0.172, mean:0.185
  51: max:0.197, min:0.164, mean:0.186
  52: max:0.197, min:0.172, mean:0.187
  53: max:0.205, min:0.180, mean:0.190
  54: max:0.205, min:0.180, mean:0.191
  55: max:0.205, min:0.180, mean:0.194
  56: max:0.205, min:0.180, mean:0.196
  57: max:0.213, min:0.180, mean:0.199
  58: max:0.213, min:0.180, mean:0.201
  59: max:0.221, min:0.180, mean:0.202
  60: max:0.221, min:0.180, mean:0.203
  61: max:0.221, min:0.189, mean:0.205
  62: max:0.230, min:0.189, mean:0.208
  63: max:0.230, min:0.197, mean:0.211
  64: max:0.230, min:0.197, mean:0.213
  65: max:0.230, min:0.189, mean:0.216
  66: max:0.230, min:0.197, mean:0.219
  67: max:0.230, min:0.213, mean:0.222
  68: max:0.238, min:0.205, mean:0.223
  69: max:0.238, min:0.205, mean:0.224
  70: max:0.238, min:0.205, mean:0.225
  71: max:0.238, min:0.205, mean:0.227
  72: max:0.238, min:0.213, mean:0.229
  73: max:0.246, min:0.213, mean:0.231
  74: max:0.246, min:0.213, mean:0.234
  75: max:0.246, min:0.213, mean:0.234
  76: max:0.246, min:0.221, mean:0.236
  77: max:0.246, min:0.221, mean:0.238
  78: max:0.254, min:0.221, mean:0.240
  79: max:0.254, min:0.221, mean:0.242
  80: max:0.254, min:0.221, mean:0.244
  81: max:0.254, min:0.230, mean:0.245
  82: max:0.254, min:0.230, mean:0.246
  83: max:0.262, min:0.230, mean:0.248
  84: max:0.262, min:0.238, mean:0.249
  85: max:0.262, min:0.221, mean:0.250
  86: max:0.262, min:0.238, mean:0.252
  87: max:0.270, min:0.238, mean:0.253
  88: max:0.270, min:0.230, mean:0.254
  89: max:0.262, min:0.238, mean:0.256
  90: max:0.262, min:0.238, mean:0.257
  91: max:0.262, min:0.238, mean:0.258
  92: max:0.262, min:0.238, mean:0.259
  93: max:0.270, min:0.246, mean:0.260
  94: max:0.270, min:0.246, mean:0.261
  95: max:0.279, min:0.246, mean:0.262
  96: max:0.279, min:0.238, mean:0.263
  97: max:0.279, min:0.238, mean:0.265
  98: max:0.279, min:0.246, mean:0.267
  99: max:0.279, min:0.254, mean:0.268
 100: max:0.279, min:0.246, mean:0.269
 101: max:0.279, min:0.254, mean:0.270
 102: max:0.279, min:0.254, mean:0.271
 103: max:0.279, min:0.262, mean:0.272
 104: max:0.279, min:0.254, mean:0.274
 105: max:0.287, min:0.262, mean:0.275
 106: max:0.287, min:0.262, mean:0.276
 107: max:0.287, min:0.262, mean:0.277
 108: max:0.295, min:0.262, mean:0.279
 109: max:0.295, min:0.254, mean:0.279
 110: max:0.295, min:0.262, mean:0.282
 111: max:0.295, min:0.262, mean:0.283
 112: max:0.303, min:0.270, mean:0.285
 113: max:0.303, min:0.270, mean:0.285
 114: max:0.303, min:0.270, mean:0.286
 115: max:0.303, min:0.270, mean:0.288
 116: max:0.303, min:0.270, mean:0.288
 117: max:0.303, min:0.270, mean:0.289
 118: max:0.303, min:0.270, mean:0.291
 119: max:0.303, min:0.270, mean:0.292
 120: max:0.303, min:0.279, mean:0.294
 121: max:0.311, min:0.279, mean:0.295
 122: max:0.311, min:0.262, mean:0.296
 123: max:0.311, min:0.287, mean:0.297
