   1: max:0.250, min:0.000, mean:0.065
   2: max:0.250, min:0.000, mean:0.099
   3: max:0.375, min:0.000, mean:0.126
   4: max:0.375, min:0.000, mean:0.142
   5: max:0.375, min:0.000, mean:0.154
   6: max:0.375, min:0.000, mean:0.165
   7: max:0.375, min:0.000, mean:0.175
   8: max:0.500, min:0.000, mean:0.184
   9: max:0.500, min:0.000, mean:0.198
  10: max:0.625, min:0.000, mean:0.225
  11: max:0.625, min:0.000, mean:0.255
  12: max:0.500, min:0.000, mean:0.276
  13: max:0.500, min:0.125, mean:0.305
  14: max:0.500, min:0.125, mean:0.316
  15: max:0.500, min:0.000, mean:0.321
  16: max:0.500, min:0.125, mean:0.316
  17: max:0.500, min:0.000, mean:0.321
  18: max:0.500, min:0.000, mean:0.349
  19: max:0.500, min:0.000, mean:0.372
  20: max:0.500, min:0.125, mean:0.379
  21: max:0.500, min:0.125, mean:0.381
  22: max:0.625, min:0.125, mean:0.390
  23: max:0.625, min:0.125, mean:0.385
  24: max:0.625, min:0.250, mean:0.383
  25: max:0.625, min:0.125, mean:0.393
  26: max:0.625, min:0.125, mean:0.409
  27: max:0.625, min:0.125, mean:0.403
  28: max:0.625, min:0.125, mean:0.395
  29: max:0.500, min:0.125, mean:0.415
  30: max:0.500, min:0.250, mean:0.405
  31: max:0.500, min:0.125, mean:0.390
  32: max:0.500, min:0.125, mean:0.401
  33: max:0.500, min:0.125, mean:0.390
  34: max:0.625, min:0.125, mean:0.409
  35: max:0.625, min:0.125, mean:0.417
  36: max:0.625, min:0.125, mean:0.411
  37: max:0.625, min:0.125, mean:0.407
  38: max:0.625, min:0.250, mean:0.394
  39: max:0.500, min:0.125, mean:0.388
  40: max:0.625, min:0.125, mean:0.391
  41: max:0.625, min:0.125, mean:0.400
  42: max:0.625, min:0.125, mean:0.400
  43: max:0.625, min:0.000, mean:0.399
  44: max:0.625, min:0.250, mean:0.417
  45: max:0.500, min:0.125, mean:0.405
  46: max:0.500, min:0.125, mean:0.406
  47: max:0.625, min:0.125, mean:0.401
  48: max:0.625, min:0.000, mean:0.404
  49: max:0.625, min:0.125, mean:0.415
  50: max:0.625, min:0.125, mean:0.416
  51: max:0.625, min:0.125, mean:0.412
  52: max:0.625, min:0.125, mean:0.425
  53: max:0.625, min:0.125, mean:0.422
  54: max:0.625, min:0.125, mean:0.401
  55: max:0.625, min:0.125, mean:0.419
  56: max:0.625, min:0.125, mean:0.432
  57: max:0.625, min:0.125, mean:0.436
  58: max:0.625, min:0.125, mean:0.450
  59: max:0.625, min:0.125, mean:0.453
  60: max:0.625, min:0.125, mean:0.468
  61: max:0.750, min:0.125, mean:0.472
  62: max:0.750, min:0.250, mean:0.486
  63: max:0.750, min:0.125, mean:0.480
  64: max:0.750, min:0.125, mean:0.470
  65: max:0.750, min:0.125, mean:0.486
  66: max:0.750, min:0.125, mean:0.484
  67: max:0.750, min:0.250, mean:0.520
  68: max:0.750, min:0.125, mean:0.531
  69: max:0.750, min:0.250, mean:0.539
  70: max:0.750, min:0.250, mean:0.514
  71: max:0.750, min:0.125, mean:0.482
  72: max:0.750, min:0.250, mean:0.502
  73: max:0.750, min:0.250, mean:0.507
  74: max:0.750, min:0.125, mean:0.516
  75: max:0.750, min:0.250, mean:0.499
  76: max:0.750, min:0.125, mean:0.481
  77: max:0.750, min:0.125, mean:0.507
  78: max:0.750, min:0.125, mean:0.500
  79: max:0.750, min:0.125, mean:0.486
  80: max:0.750, min:0.125, mean:0.504
  81: max:0.750, min:0.125, mean:0.500
  82: max:0.875, min:0.125, mean:0.502
  83: max:0.750, min:0.125, mean:0.497
  84: max:0.750, min:0.125, mean:0.485
  85: max:0.750, min:0.250, mean:0.477
  86: max:0.750, min:0.250, mean:0.465
  87: max:0.750, min:0.125, mean:0.459
  88: max:0.750, min:0.250, mean:0.454
  89: max:0.750, min:0.125, mean:0.453
  90: max:0.625, min:0.250, mean:0.440
  91: max:0.625, min:0.250, mean:0.438
  92: max:0.750, min:0.125, mean:0.430
  93: max:0.750, min:0.125, mean:0.455
  94: max:0.750, min:0.125, mean:0.438
  95: max:0.750, min:0.125, mean:0.453
  96: max:0.625, min:0.250, mean:0.436
  97: max:0.625, min:0.250, mean:0.436
  98: max:0.625, min:0.125, mean:0.441
  99: max:0.625, min:0.125, mean:0.430
 100: max:0.625, min:0.125, mean:0.429
 101: max:0.625, min:0.000, mean:0.425
 102: max:0.750, min:0.125, mean:0.463
 103: max:0.625, min:0.125, mean:0.435
 104: max:0.625, min:0.250, mean:0.430
 105: max:0.625, min:0.125, mean:0.426
 106: max:0.750, min:0.125, mean:0.427
 107: max:0.750, min:0.125, mean:0.445
 108: max:0.750, min:0.250, mean:0.453
 109: max:0.750, min:0.250, mean:0.460
 110: max:0.750, min:0.250, mean:0.459
 111: max:0.750, min:0.250, mean:0.465
 112: max:0.750, min:0.125, mean:0.496
 113: max:0.750, min:0.125, mean:0.487
 114: max:0.625, min:0.125, mean:0.472
 115: max:0.750, min:0.250, mean:0.487
 116: max:0.625, min:0.250, mean:0.485
 117: max:0.625, min:0.250, mean:0.480
 118: max:0.625, min:0.125, mean:0.456
 119: max:0.625, min:0.250, mean:0.471
 120: max:0.750, min:0.125, mean:0.479
 121: max:0.625, min:0.125, mean:0.477
 122: max:0.750, min:0.250, mean:0.475
 123: max:0.750, min:0.250, mean:0.456
 124: max:0.625, min:0.125, mean:0.463
 125: max:0.750, min:0.250, mean:0.449
 126: max:0.625, min:0.125, mean:0.448
 127: max:0.625, min:0.250, mean:0.431
 128: max:0.625, min:0.000, mean:0.427
 129: max:0.625, min:0.125, mean:0.456
 130: max:0.625, min:0.250, mean:0.470
 131: max:0.750, min:0.000, mean:0.504
 132: max:0.750, min:0.125, mean:0.502
 133: max:0.750, min:0.125, mean:0.490
 134: max:0.750, min:0.250, mean:0.509
 135: max:0.750, min:0.250, mean:0.521
 136: max:0.750, min:0.125, mean:0.520
 137: max:0.750, min:0.125, mean:0.520
 138: max:0.750, min:0.125, mean:0.516
 139: max:0.750, min:0.250, mean:0.525
 140: max:0.750, min:0.125, mean:0.530
 141: max:0.750, min:0.250, mean:0.542
 142: max:0.750, min:0.125, mean:0.531
 143: max:0.750, min:0.125, mean:0.521
 144: max:0.750, min:0.250, mean:0.526
 145: max:0.750, min:0.250, mean:0.504
 146: max:0.750, min:0.250, mean:0.477
 147: max:0.750, min:0.250, mean:0.458
 148: max:0.750, min:0.125, mean:0.476
 149: max:0.750, min:0.250, mean:0.495
 150: max:0.750, min:0.250, mean:0.506
 151: max:0.750, min:0.250, mean:0.482
 152: max:0.750, min:0.125, mean:0.479
 153: max:0.625, min:0.250, mean:0.482
 154: max:0.750, min:0.125, mean:0.468
 155: max:0.750, min:0.125, mean:0.468
 156: max:0.750, min:0.125, mean:0.479
 157: max:0.750, min:0.125, mean:0.482
 158: max:0.625, min:0.250, mean:0.481
 159: max:0.625, min:0.250, mean:0.477
 160: max:0.625, min:0.125, mean:0.450
 161: max:0.625, min:0.125, mean:0.441
 162: max:0.750, min:0.125, mean:0.439
 163: max:0.750, min:0.125, mean:0.450
 164: max:0.625, min:0.125, mean:0.472
 165: max:0.750, min:0.125, mean:0.482
 166: max:0.750, min:0.250, mean:0.479
 167: max:0.625, min:0.125, mean:0.466
 168: max:0.625, min:0.125, mean:0.451
 169: max:0.625, min:0.125, mean:0.431
 170: max:0.750, min:0.125, mean:0.445
 171: max:0.750, min:0.250, mean:0.476
 172: max:0.750, min:0.250, mean:0.476
 173: max:0.750, min:0.125, mean:0.465
 174: max:0.625, min:0.125, mean:0.477
 175: max:0.750, min:0.250, mean:0.474
 176: max:0.750, min:0.125, mean:0.459
 177: max:0.750, min:0.125, mean:0.466
 178: max:0.750, min:0.250, mean:0.469
 179: max:0.750, min:0.000, mean:0.465
 180: max:0.875, min:0.250, mean:0.480
 181: max:0.875, min:0.125, mean:0.495
 182: max:0.875, min:0.250, mean:0.510
 183: max:0.875, min:0.125, mean:0.514
 184: max:0.875, min:0.250, mean:0.527
 185: max:0.875, min:0.250, mean:0.541
 186: max:0.875, min:0.250, mean:0.535
 187: max:0.750, min:0.125, mean:0.527
 188: max:0.750, min:0.250, mean:0.525
 189: max:0.750, min:0.250, mean:0.497
 190: max:0.750, min:0.125, mean:0.484
 191: max:0.750, min:0.125, mean:0.468
 192: max:0.750, min:0.125, mean:0.455
 193: max:0.625, min:0.125, mean:0.463
 194: max:0.750, min:0.125, mean:0.466
 195: max:0.625, min:0.250, mean:0.476
 196: max:0.750, min:0.250, mean:0.465
 197: max:0.625, min:0.250, mean:0.476
 198: max:0.625, min:0.125, mean:0.463
 199: max:0.625, min:0.125, mean:0.458
 200: max:0.625, min:0.125, mean:0.464
 201: max:0.750, min:0.125, mean:0.460
 202: max:0.625, min:0.250, mean:0.461
 203: max:0.625, min:0.125, mean:0.453
 204: max:0.625, min:0.125, mean:0.451
 205: max:0.750, min:0.125, mean:0.451
 206: max:0.875, min:0.250, mean:0.459
 207: max:0.875, min:0.125, mean:0.489
 208: max:0.750, min:0.250, mean:0.500
 209: max:0.875, min:0.125, mean:0.519
 210: max:0.750, min:0.000, mean:0.495
 211: max:0.750, min:0.250, mean:0.526
 212: max:0.750, min:0.250, mean:0.527
 213: max:0.875, min:0.250, mean:0.550
 214: max:0.875, min:0.250, mean:0.532
 215: max:0.875, min:0.125, mean:0.540
 216: max:0.750, min:0.125, mean:0.531
 217: max:0.750, min:0.375, mean:0.542
 218: max:0.750, min:0.125, mean:0.519
 219: max:0.750, min:0.250, mean:0.512
 220: max:0.750, min:0.250, mean:0.506
 221: max:0.750, min:0.250, mean:0.492
 222: max:0.750, min:0.000, mean:0.482
 223: max:0.750, min:0.250, mean:0.511
 224: max:0.750, min:0.250, mean:0.515
 225: max:0.750, min:0.125, mean:0.492
 226: max:0.750, min:0.250, mean:0.496
 227: max:0.750, min:0.125, mean:0.497
 228: max:0.750, min:0.125, mean:0.496
 229: max:0.750, min:0.125, mean:0.496
 230: max:0.750, min:0.250, mean:0.481
 231: max:0.750, min:0.125, mean:0.496
 232: max:0.875, min:0.000, mean:0.481
 233: max:0.875, min:0.250, mean:0.492
 234: max:0.750, min:0.250, mean:0.485
 235: max:0.750, min:0.125, mean:0.494
 236: max:0.750, min:0.125, mean:0.491
 237: max:0.750, min:0.125, mean:0.502
 238: max:0.750, min:0.250, mean:0.497
 239: max:0.750, min:0.250, mean:0.515
 240: max:0.750, min:0.125, mean:0.514
 241: max:0.750, min:0.250, mean:0.509
 242: max:0.750, min:0.250, mean:0.512
 243: max:0.750, min:0.250, mean:0.516
 244: max:0.750, min:0.125, mean:0.522
 245: max:0.750, min:0.250, mean:0.524
 246: max:0.750, min:0.250, mean:0.520
 247: max:0.750, min:0.250, mean:0.520
 248: max:0.750, min:0.250, mean:0.524
 249: max:0.750, min:0.250, mean:0.517
 250: max:0.750, min:0.250, mean:0.492
 251: max:0.750, min:0.250, mean:0.492
 252: max:0.625, min:0.250, mean:0.470
 253: max:0.625, min:0.250, mean:0.468
 254: max:0.750, min:0.125, mean:0.460
 255: max:0.750, min:0.125, mean:0.465
 256: max:0.625, min:0.250, mean:0.471
 257: max:0.750, min:0.000, mean:0.444
 258: max:0.625, min:0.000, mean:0.438
 259: max:0.625, min:0.250, mean:0.449
 260: max:0.625, min:0.250, mean:0.438
 261: max:0.625, min:0.125, mean:0.443
 262: max:0.625, min:0.125, mean:0.445
 263: max:0.625, min:0.125, mean:0.455
 264: max:0.625, min:0.125, mean:0.440
 265: max:0.750, min:0.250, mean:0.448
 266: max:0.750, min:0.250, mean:0.449
 267: max:0.750, min:0.125, mean:0.464
 268: max:0.750, min:0.000, mean:0.454
 269: max:0.625, min:0.125, mean:0.460
 270: max:0.750, min:0.125, mean:0.448
 271: max:0.750, min:0.125, mean:0.429
 272: max:0.750, min:0.125, mean:0.434
 273: max:0.750, min:0.125, mean:0.451
 274: max:0.750, min:0.125, mean:0.449
 275: max:0.625, min:0.125, mean:0.446
 276: max:0.625, min:0.250, mean:0.460
 277: max:0.750, min:0.125, mean:0.455
 278: max:0.750, min:0.000, mean:0.468
 279: max:0.750, min:0.125, mean:0.472
 280: max:0.625, min:0.250, mean:0.484
 281: max:0.625, min:0.125, mean:0.485
