 146: max:0.667, min:0.476, mean:0.581
 147: max:0.667, min:0.429, mean:0.574
 148: max:0.667, min:0.476, mean:0.577
 149: max:0.667, min:0.429, mean:0.580
 150: max:0.667, min:0.429, mean:0.585
 151: max:0.667, min:0.429, mean:0.585
 152: max:0.667, min:0.476, mean:0.585
 153: max:0.667, min:0.476, mean:0.580
 154: max:0.667, min:0.476, mean:0.583
 155: max:0.667, min:0.476, mean:0.581
 156: max:0.667, min:0.381, mean:0.588
 157: max:0.667, min:0.476, mean:0.584
 158: max:0.714, min:0.476, mean:0.583
 159: max:0.667, min:0.476, mean:0.590
 160: max:0.714, min:0.476, mean:0.592
 161: max:0.714, min:0.524, mean:0.595
 162: max:0.714, min:0.429, mean:0.584
 163: max:0.714, min:0.476, mean:0.581
 164: max:0.714, min:0.429, mean:0.590
 165: max:0.714, min:0.476, mean:0.592
 166: max:0.667, min:0.429, mean:0.590
 167: max:0.667, min:0.429, mean:0.586
 168: max:0.714, min:0.429, mean:0.579
 169: max:0.714, min:0.429, mean:0.581
 170: max:0.714, min:0.429, mean:0.580
 171: max:0.714, min:0.429, mean:0.580
 172: max:0.714, min:0.381, mean:0.581
 173: max:0.714, min:0.429, mean:0.587
 174: max:0.667, min:0.429, mean:0.589
 175: max:0.667, min:0.476, mean:0.584
 176: max:0.667, min:0.429, mean:0.577
 177: max:0.667, min:0.429, mean:0.574
 178: max:0.667, min:0.429, mean:0.575
 179: max:0.667, min:0.429, mean:0.571
 180: max:0.714, min:0.429, mean:0.562
 181: max:0.714, min:0.381, mean:0.569
 182: max:0.667, min:0.381, mean:0.570
 183: max:0.667, min:0.476, mean:0.574
 184: max:0.667, min:0.476, mean:0.571
 185: max:0.667, min:0.381, mean:0.570
 186: max:0.667, min:0.333, mean:0.556
 187: max:0.667, min:0.381, mean:0.551
 188: max:0.667, min:0.429, mean:0.551
 189: max:0.619, min:0.429, mean:0.554
 190: max:0.619, min:0.429, mean:0.558
 191: max:0.619, min:0.381, mean:0.556
 192: max:0.619, min:0.429, mean:0.563
 193: max:0.667, min:0.381, mean:0.561
 194: max:0.667, min:0.476, mean:0.570
 195: max:0.667, min:0.381, mean:0.556
 196: max:0.667, min:0.429, mean:0.562
 197: max:0.667, min:0.381, mean:0.566
 198: max:0.667, min:0.381, mean:0.565
 199: max:0.667, min:0.429, mean:0.566
 200: max:0.667, min:0.429, mean:0.571
 201: max:0.667, min:0.429, mean:0.574
 202: max:0.667, min:0.429, mean:0.579
 203: max:0.667, min:0.429, mean:0.582
 204: max:0.667, min:0.429, mean:0.578
 205: max:0.667, min:0.476, mean:0.579
 206: max:0.667, min:0.476, mean:0.580
 207: max:0.667, min:0.429, mean:0.571
 208: max:0.667, min:0.429, mean:0.583
 209: max:0.667, min:0.429, mean:0.587
 210: max:0.667, min:0.524, mean:0.598
 211: max:0.667, min:0.429, mean:0.601
 212: max:0.667, min:0.476, mean:0.606
 213: max:0.714, min:0.381, mean:0.595
 214: max:0.667, min:0.524, mean:0.606
 215: max:0.714, min:0.476, mean:0.598
 216: max:0.667, min:0.429, mean:0.608
 217: max:0.667, min:0.476, mean:0.610
 218: max:0.667, min:0.476, mean:0.598
 219: max:0.667, min:0.381, mean:0.589
 220: max:0.667, min:0.476, mean:0.584
 221: max:0.667, min:0.429, mean:0.579
 222: max:0.667, min:0.381, mean:0.579
 223: max:0.667, min:0.429, mean:0.578
 224: max:0.667, min:0.429, mean:0.577
 225: max:0.667, min:0.429, mean:0.579
 226: max:0.667, min:0.429, mean:0.587
 227: max:0.714, min:0.476, mean:0.602
 228: max:0.667, min:0.524, mean:0.599
 229: max:0.667, min:0.381, mean:0.591
 230: max:0.667, min:0.429, mean:0.600
 231: max:0.667, min:0.476, mean:0.600
 232: max:0.667, min:0.476, mean:0.610
 233: max:0.667, min:0.476, mean:0.614
 234: max:0.667, min:0.476, mean:0.604
 235: max:0.714, min:0.429, mean:0.594
 236: max:0.667, min:0.476, mean:0.593
 237: max:0.667, min:0.476, mean:0.584
 238: max:0.667, min:0.476, mean:0.582
 239: max:0.667, min:0.429, mean:0.574
 240: max:0.667, min:0.476, mean:0.582
 241: max:0.667, min:0.429, mean:0.581
 242: max:0.714, min:0.476, mean:0.573
 243: max:0.714, min:0.476, mean:0.576
 244: max:0.714, min:0.429, mean:0.580
 245: max:0.667, min:0.429, mean:0.578
 246: max:0.667, min:0.333, mean:0.575
 247: max:0.667, min:0.429, mean:0.580
 248: max:0.667, min:0.429, mean:0.577
 249: max:0.667, min:0.429, mean:0.580
 250: max:0.667, min:0.429, mean:0.587
 251: max:0.667, min:0.429, mean:0.587
 252: max:0.667, min:0.476, mean:0.587
 253: max:0.667, min:0.429, mean:0.588
 254: max:0.667, min:0.476, mean:0.589
 255: max:0.667, min:0.381, mean:0.586
 256: max:0.667, min:0.429, mean:0.585
 257: max:0.667, min:0.429, mean:0.581
 258: max:0.714, min:0.381, mean:0.588
 259: max:0.714, min:0.429, mean:0.598
 260: max:0.714, min:0.429, mean:0.598
 261: max:0.714, min:0.476, mean:0.606
 262: max:0.714, min:0.476, mean:0.613
 263: max:0.714, min:0.476, mean:0.611
 264: max:0.714, min:0.476, mean:0.615
 265: max:0.714, min:0.429, mean:0.606
 266: max:0.714, min:0.429, mean:0.617
 267: max:0.714, min:0.429, mean:0.618
 268: max:0.714, min:0.476, mean:0.621
 269: max:0.714, min:0.476, mean:0.617
 270: max:0.714, min:0.524, mean:0.617
 271: max:0.714, min:0.429, mean:0.612
 272: max:0.714, min:0.476, mean:0.620
 273: max:0.714, min:0.524, mean:0.621
 274: max:0.714, min:0.476, mean:0.614
 275: max:0.714, min:0.476, mean:0.617
 276: max:0.714, min:0.429, mean:0.620
 277: max:0.714, min:0.524, mean:0.626
 278: max:0.714, min:0.524, mean:0.636
 279: max:0.714, min:0.333, mean:0.631
 280: max:0.714, min:0.524, mean:0.626
 281: max:0.714, min:0.476, mean:0.627
 282: max:0.714, min:0.524, mean:0.626
 283: max:0.714, min:0.476, mean:0.623
 284: max:0.714, min:0.429, mean:0.610
 285: max:0.714, min:0.476, mean:0.618
