   1: max:0.098, min:0.000, mean:0.051
   2: max:0.098, min:0.020, mean:0.063
   3: max:0.118, min:0.039, mean:0.074
   4: max:0.098, min:0.039, mean:0.082
   5: max:0.118, min:0.059, mean:0.086
   6: max:0.118, min:0.059, mean:0.090
   7: max:0.137, min:0.059, mean:0.095
   8: max:0.137, min:0.059, mean:0.099
   9: max:0.137, min:0.078, mean:0.104
  10: max:0.137, min:0.078, mean:0.110
  11: max:0.137, min:0.078, mean:0.113
  12: max:0.137, min:0.078, mean:0.117
  13: max:0.137, min:0.098, mean:0.120
  14: max:0.137, min:0.078, mean:0.122
  15: max:0.137, min:0.098, mean:0.127
  16: max:0.157, min:0.098, mean:0.131
  17: max:0.157, min:0.098, mean:0.136
  18: max:0.176, min:0.118, mean:0.139
  19: max:0.176, min:0.118, mean:0.143
  20: max:0.196, min:0.118, mean:0.147
  21: max:0.196, min:0.118, mean:0.150
  22: max:0.216, min:0.118, mean:0.157
  23: max:0.216, min:0.098, mean:0.164
  24: max:0.216, min:0.137, mean:0.168
  25: max:0.216, min:0.137, mean:0.175
  26: max:0.235, min:0.157, mean:0.186
  27: max:0.255, min:0.137, mean:0.196
  28: max:0.255, min:0.157, mean:0.205
  29: max:0.255, min:0.137, mean:0.211
  30: max:0.255, min:0.176, mean:0.216
  31: max:0.275, min:0.196, mean:0.227
  32: max:0.294, min:0.176, mean:0.233
  33: max:0.275, min:0.196, mean:0.240
  34: max:0.275, min:0.196, mean:0.246
  35: max:0.294, min:0.196, mean:0.251
  36: max:0.294, min:0.196, mean:0.254
  37: max:0.294, min:0.216, mean:0.264
  38: max:0.294, min:0.235, mean:0.270
  39: max:0.294, min:0.216, mean:0.273
  40: max:0.294, min:0.216, mean:0.277
  41: max:0.294, min:0.235, mean:0.281
  42: max:0.314, min:0.235, mean:0.281
  43: max:0.314, min:0.216, mean:0.286
  44: max:0.314, min:0.235, mean:0.289
  45: max:0.314, min:0.275, mean:0.290
  46: max:0.314, min:0.255, mean:0.291
  47: max:0.314, min:0.255, mean:0.290
  48: max:0.314, min:0.255, mean:0.293
  49: max:0.333, min:0.255, mean:0.297
  50: max:0.333, min:0.255, mean:0.301
  51: max:0.333, min:0.235, mean:0.305
  52: max:0.333, min:0.255, mean:0.307
  53: max:0.353, min:0.275, mean:0.312
  54: max:0.353, min:0.275, mean:0.315
  55: max:0.353, min:0.275, mean:0.317
  56: max:0.353, min:0.275, mean:0.318
  57: max:0.353, min:0.275, mean:0.321
  58: max:0.353, min:0.294, mean:0.325
  59: max:0.353, min:0.294, mean:0.325
  60: max:0.353, min:0.294, mean:0.327
  61: max:0.353, min:0.275, mean:0.329
  62: max:0.353, min:0.275, mean:0.330
  63: max:0.353, min:0.275, mean:0.332
  64: max:0.373, min:0.294, mean:0.335
  65: max:0.373, min:0.275, mean:0.336
  66: max:0.373, min:0.294, mean:0.337
  67: max:0.373, min:0.294, mean:0.341
  68: max:0.373, min:0.314, mean:0.345
  69: max:0.373, min:0.314, mean:0.347
  70: max:0.392, min:0.314, mean:0.349
  71: max:0.392, min:0.314, mean:0.352
  72: max:0.412, min:0.333, mean:0.357
  73: max:0.431, min:0.314, mean:0.364
  74: max:0.431, min:0.314, mean:0.367
  75: max:0.431, min:0.333, mean:0.378
  76: max:0.431, min:0.333, mean:0.381
  77: max:0.431, min:0.333, mean:0.387
  78: max:0.451, min:0.333, mean:0.394
  79: max:0.431, min:0.314, mean:0.400
  80: max:0.431, min:0.333, mean:0.406
  81: max:0.431, min:0.333, mean:0.412
  82: max:0.431, min:0.373, mean:0.414
  83: max:0.451, min:0.373, mean:0.416
  84: max:0.451, min:0.373, mean:0.417
  85: max:0.451, min:0.373, mean:0.416
  86: max:0.451, min:0.353, mean:0.415
  87: max:0.451, min:0.373, mean:0.422
  88: max:0.451, min:0.373, mean:0.424
  89: max:0.471, min:0.373, mean:0.427
  90: max:0.471, min:0.392, mean:0.430
  91: max:0.471, min:0.392, mean:0.435
  92: max:0.471, min:0.373, mean:0.437
  93: max:0.471, min:0.392, mean:0.438
  94: max:0.471, min:0.392, mean:0.440
  95: max:0.471, min:0.373, mean:0.443
  96: max:0.471, min:0.392, mean:0.444
  97: max:0.490, min:0.412, mean:0.445
  98: max:0.490, min:0.392, mean:0.443
  99: max:0.490, min:0.392, mean:0.443
 100: max:0.490, min:0.412, mean:0.449
 101: max:0.490, min:0.392, mean:0.450
 102: max:0.490, min:0.392, mean:0.453
 103: max:0.490, min:0.412, mean:0.454
 104: max:0.490, min:0.392, mean:0.454
 105: max:0.510, min:0.412, mean:0.459
 106: max:0.490, min:0.412, mean:0.461
 107: max:0.490, min:0.392, mean:0.462
 108: max:0.510, min:0.392, mean:0.465
 109: max:0.529, min:0.412, mean:0.467
 110: max:0.490, min:0.412, mean:0.473
 111: max:0.510, min:0.431, mean:0.474
 112: max:0.490, min:0.412, mean:0.473
 113: max:0.510, min:0.431, mean:0.473
 114: max:0.510, min:0.431, mean:0.472
 115: max:0.510, min:0.412, mean:0.473
 116: max:0.510, min:0.431, mean:0.475
 117: max:0.510, min:0.412, mean:0.477
 118: max:0.510, min:0.431, mean:0.479
 119: max:0.510, min:0.392, mean:0.477
 120: max:0.529, min:0.431, mean:0.477
 121: max:0.529, min:0.431, mean:0.477
 122: max:0.529, min:0.431, mean:0.478
 123: max:0.529, min:0.431, mean:0.482
 124: max:0.549, min:0.431, mean:0.489
 125: max:0.549, min:0.451, mean:0.495
 126: max:0.569, min:0.431, mean:0.498
 127: max:0.569, min:0.451, mean:0.504
 128: max:0.569, min:0.431, mean:0.508
 129: max:0.569, min:0.412, mean:0.510
 130: max:0.569, min:0.431, mean:0.519
 131: max:0.588, min:0.471, mean:0.521
 132: max:0.588, min:0.451, mean:0.526
 133: max:0.588, min:0.431, mean:0.528
 134: max:0.588, min:0.471, mean:0.532
 135: max:0.588, min:0.490, mean:0.532
 136: max:0.588, min:0.471, mean:0.535
 137: max:0.588, min:0.451, mean:0.537
 138: max:0.588, min:0.471, mean:0.537
 139: max:0.588, min:0.471, mean:0.540
 140: max:0.588, min:0.490, mean:0.542
 141: max:0.588, min:0.490, mean:0.548
 142: max:0.588, min:0.471, mean:0.551
 143: max:0.588, min:0.510, mean:0.559
 144: max:0.608, min:0.510, mean:0.564
 145: max:0.608, min:0.529, mean:0.567
 146: max:0.608, min:0.490, mean:0.568
 147: max:0.608, min:0.510, mean:0.569
 148: max:0.608, min:0.510, mean:0.570
 149: max:0.608, min:0.510, mean:0.568
 150: max:0.608, min:0.490, mean:0.570
 151: max:0.608, min:0.510, mean:0.570
 152: max:0.627, min:0.510, mean:0.575
 153: max:0.627, min:0.529, mean:0.573
 154: max:0.627, min:0.510, mean:0.569
 155: max:0.608, min:0.510, mean:0.572
 156: max:0.608, min:0.529, mean:0.574
 157: max:0.608, min:0.529, mean:0.575
 158: max:0.608, min:0.529, mean:0.577
 159: max:0.627, min:0.471, mean:0.575
 160: max:0.627, min:0.510, mean:0.575
 161: max:0.627, min:0.510, mean:0.577
 162: max:0.627, min:0.529, mean:0.580
 163: max:0.627, min:0.510, mean:0.580
 164: max:0.627, min:0.529, mean:0.581
 165: max:0.627, min:0.510, mean:0.582
 166: max:0.627, min:0.529, mean:0.581
 167: max:0.627, min:0.490, mean:0.581
 168: max:0.627, min:0.529, mean:0.585
 169: max:0.627, min:0.510, mean:0.582
 170: max:0.627, min:0.510, mean:0.585
 171: max:0.627, min:0.529, mean:0.586
 172: max:0.627, min:0.510, mean:0.590
 173: max:0.647, min:0.549, mean:0.593
 174: max:0.627, min:0.529, mean:0.594
 175: max:0.627, min:0.549, mean:0.598
 176: max:0.627, min:0.549, mean:0.597
 177: max:0.647, min:0.549, mean:0.600
 178: max:0.647, min:0.510, mean:0.601
 179: max:0.647, min:0.529, mean:0.602
 180: max:0.647, min:0.549, mean:0.605
 181: max:0.647, min:0.529, mean:0.605
 182: max:0.647, min:0.549, mean:0.614
 183: max:0.647, min:0.549, mean:0.613
 184: max:0.647, min:0.549, mean:0.613
 185: max:0.647, min:0.569, mean:0.611
 186: max:0.647, min:0.569, mean:0.613
 187: max:0.647, min:0.569, mean:0.615
 188: max:0.647, min:0.529, mean:0.613
 189: max:0.647, min:0.549, mean:0.617
 190: max:0.647, min:0.549, mean:0.615
 191: max:0.647, min:0.569, mean:0.618
 192: max:0.647, min:0.549, mean:0.614
 193: max:0.647, min:0.549, mean:0.614
 194: max:0.647, min:0.549, mean:0.614
 195: max:0.647, min:0.549, mean:0.619
 196: max:0.647, min:0.569, mean:0.621
 197: max:0.667, min:0.569, mean:0.620
 198: max:0.667, min:0.569, mean:0.617
 199: max:0.647, min:0.549, mean:0.615
 200: max:0.647, min:0.549, mean:0.614
 201: max:0.647, min:0.529, mean:0.611
 202: max:0.647, min:0.529, mean:0.610
 203: max:0.647, min:0.569, mean:0.613
 204: max:0.647, min:0.549, mean:0.612
 205: max:0.647, min:0.529, mean:0.607
 206: max:0.647, min:0.549, mean:0.612
 207: max:0.647, min:0.549, mean:0.612
 208: max:0.647, min:0.549, mean:0.608
 209: max:0.647, min:0.529, mean:0.607
 210: max:0.647, min:0.549, mean:0.610
 211: max:0.647, min:0.569, mean:0.610
 212: max:0.647, min:0.529, mean:0.611
 213: max:0.647, min:0.549, mean:0.607
 214: max:0.647, min:0.529, mean:0.603
 215: max:0.627, min:0.569, mean:0.607
 216: max:0.647, min:0.549, mean:0.603
 217: max:0.647, min:0.549, mean:0.605
 218: max:0.647, min:0.529, mean:0.601
 219: max:0.647, min:0.549, mean:0.600
 220: max:0.647, min:0.529, mean:0.603
 221: max:0.647, min:0.549, mean:0.605
 222: max:0.647, min:0.549, mean:0.609
 223: max:0.647, min:0.549, mean:0.609
 224: max:0.647, min:0.510, mean:0.607
 225: max:0.647, min:0.549, mean:0.606
 226: max:0.647, min:0.549, mean:0.605
 227: max:0.647, min:0.549, mean:0.606
 228: max:0.647, min:0.549, mean:0.608
 229: max:0.647, min:0.549, mean:0.610
 230: max:0.647, min:0.549, mean:0.611
 231: max:0.647, min:0.549, mean:0.610
 232: max:0.647, min:0.569, mean:0.613
 233: max:0.647, min:0.529, mean:0.612
 234: max:0.647, min:0.549, mean:0.610
 235: max:0.647, min:0.549, mean:0.609
 236: max:0.667, min:0.549, mean:0.611
 237: max:0.667, min:0.549, mean:0.613
 238: max:0.667, min:0.569, mean:0.612
 239: max:0.667, min:0.549, mean:0.610
 240: max:0.667, min:0.549, mean:0.612
 241: max:0.667, min:0.549, mean:0.611
 242: max:0.667, min:0.569, mean:0.611
 243: max:0.667, min:0.549, mean:0.612
 244: max:0.667, min:0.549, mean:0.616
 245: max:0.667, min:0.569, mean:0.615
 246: max:0.667, min:0.569, mean:0.618
 247: max:0.647, min:0.549, mean:0.622
 248: max:0.647, min:0.569, mean:0.621
 249: max:0.647, min:0.549, mean:0.616
 250: max:0.647, min:0.569, mean:0.616
 251: max:0.667, min:0.549, mean:0.616
 252: max:0.647, min:0.549, mean:0.613
 253: max:0.647, min:0.510, mean:0.611
 254: max:0.647, min:0.549, mean:0.615
 255: max:0.647, min:0.549, mean:0.615
 256: max:0.667, min:0.549, mean:0.615
 257: max:0.667, min:0.569, mean:0.618
 258: max:0.667, min:0.569, mean:0.619
 259: max:0.667, min:0.569, mean:0.620
 260: max:0.667, min:0.569, mean:0.618
 261: max:0.667, min:0.549, mean:0.621
 262: max:0.667, min:0.529, mean:0.622
 263: max:0.667, min:0.549, mean:0.624
 264: max:0.667, min:0.549, mean:0.626
 265: max:0.667, min:0.549, mean:0.624
 266: max:0.667, min:0.569, mean:0.626
 267: max:0.686, min:0.569, mean:0.627
 268: max:0.686, min:0.569, mean:0.628
 269: max:0.686, min:0.569, mean:0.627
 270: max:0.667, min:0.569, mean:0.629
 271: max:0.667, min:0.569, mean:0.629
 272: max:0.667, min:0.569, mean:0.630
 273: max:0.667, min:0.588, mean:0.631
 274: max:0.686, min:0.549, mean:0.631
 275: max:0.686, min:0.569, mean:0.631
 276: max:0.686, min:0.569, mean:0.631
 277: max:0.686, min:0.569, mean:0.633
 278: max:0.686, min:0.569, mean:0.633
 279: max:0.686, min:0.588, mean:0.635
 280: max:0.667, min:0.529, mean:0.633
 281: max:0.667, min:0.549, mean:0.634
 282: max:0.667, min:0.588, mean:0.635
