   1: max:0.214, min:0.000, mean:0.085
   2: max:0.214, min:0.036, mean:0.126
   3: max:0.250, min:0.071, mean:0.163
   4: max:0.250, min:0.143, mean:0.186
   5: max:0.250, min:0.143, mean:0.207
   6: max:0.286, min:0.143, mean:0.217
   7: max:0.286, min:0.179, mean:0.235
   8: max:0.286, min:0.179, mean:0.255
   9: max:0.321, min:0.214, mean:0.267
  10: max:0.321, min:0.214, mean:0.276
  11: max:0.321, min:0.214, mean:0.286
  12: max:0.321, min:0.250, mean:0.305
  13: max:0.357, min:0.250, mean:0.309
  14: max:0.357, min:0.250, mean:0.312
  15: max:0.357, min:0.250, mean:0.318
  16: max:0.357, min:0.250, mean:0.328
  17: max:0.357, min:0.286, mean:0.336
  18: max:0.393, min:0.286, mean:0.346
  19: max:0.393, min:0.286, mean:0.350
  20: max:0.393, min:0.250, mean:0.351
  21: max:0.393, min:0.286, mean:0.361
  22: max:0.393, min:0.286, mean:0.376
  23: max:0.429, min:0.286, mean:0.380
  24: max:0.429, min:0.321, mean:0.382
  25: max:0.464, min:0.321, mean:0.384
  26: max:0.464, min:0.321, mean:0.391
  27: max:0.464, min:0.321, mean:0.410
  28: max:0.500, min:0.321, mean:0.433
  29: max:0.464, min:0.393, mean:0.449
  30: max:0.500, min:0.393, mean:0.449
  31: max:0.500, min:0.357, mean:0.452
  32: max:0.500, min:0.357, mean:0.463
  33: max:0.536, min:0.393, mean:0.474
  34: max:0.536, min:0.393, mean:0.484
  35: max:0.536, min:0.393, mean:0.485
  36: max:0.536, min:0.429, mean:0.492
  37: max:0.536, min:0.429, mean:0.495
  38: max:0.536, min:0.393, mean:0.511
  39: max:0.571, min:0.429, mean:0.519
  40: max:0.571, min:0.393, mean:0.520
  41: max:0.571, min:0.393, mean:0.520
  42: max:0.571, min:0.464, mean:0.518
  43: max:0.571, min:0.464, mean:0.521
  44: max:0.607, min:0.429, mean:0.531
  45: max:0.607, min:0.464, mean:0.548
  46: max:0.607, min:0.464, mean:0.556
  47: max:0.607, min:0.464, mean:0.566
  48: max:0.607, min:0.500, mean:0.573
  49: max:0.607, min:0.429, mean:0.579
  50: max:0.607, min:0.500, mean:0.587
  51: max:0.643, min:0.500, mean:0.587
  52: max:0.643, min:0.464, mean:0.585
  53: max:0.643, min:0.500, mean:0.587
  54: max:0.643, min:0.500, mean:0.596
  55: max:0.643, min:0.500, mean:0.607
  56: max:0.643, min:0.536, mean:0.617
  57: max:0.679, min:0.536, mean:0.622
  58: max:0.679, min:0.536, mean:0.622
  59: max:0.679, min:0.464, mean:0.624
  60: max:0.679, min:0.536, mean:0.629
  61: max:0.714, min:0.536, mean:0.640
  62: max:0.714, min:0.536, mean:0.647
  63: max:0.714, min:0.536, mean:0.657
  64: max:0.714, min:0.571, mean:0.659
  65: max:0.714, min:0.571, mean:0.666
  66: max:0.714, min:0.607, mean:0.671
  67: max:0.714, min:0.571, mean:0.678
  68: max:0.750, min:0.607, mean:0.684
  69: max:0.750, min:0.571, mean:0.683
  70: max:0.750, min:0.571, mean:0.693
  71: max:0.750, min:0.607, mean:0.697
  72: max:0.786, min:0.571, mean:0.705
  73: max:0.786, min:0.607, mean:0.707
  74: max:0.786, min:0.607, mean:0.714
  75: max:0.786, min:0.643, mean:0.720
  76: max:0.786, min:0.607, mean:0.721
  77: max:0.786, min:0.607, mean:0.730
  78: max:0.786, min:0.643, mean:0.740
  79: max:0.821, min:0.643, mean:0.744
  80: max:0.786, min:0.643, mean:0.750
  81: max:0.786, min:0.643, mean:0.752
  82: max:0.786, min:0.643, mean:0.756
  83: max:0.786, min:0.643, mean:0.756
  84: max:0.821, min:0.679, mean:0.751
  85: max:0.821, min:0.643, mean:0.756
  86: max:0.821, min:0.679, mean:0.758
  87: max:0.821, min:0.607, mean:0.759
  88: max:0.821, min:0.607, mean:0.761
  89: max:0.821, min:0.643, mean:0.769
  90: max:0.821, min:0.714, mean:0.773
  91: max:0.857, min:0.643, mean:0.778
  92: max:0.857, min:0.679, mean:0.789
  93: max:0.857, min:0.679, mean:0.797
  94: max:0.857, min:0.679, mean:0.793
  95: max:0.857, min:0.714, mean:0.804
  96: max:0.857, min:0.679, mean:0.814
  97: max:0.857, min:0.679, mean:0.811
  98: max:0.857, min:0.714, mean:0.815
  99: max:0.893, min:0.714, mean:0.825
 100: max:0.857, min:0.714, mean:0.826
 101: max:0.857, min:0.714, mean:0.820
 102: max:0.857, min:0.750, mean:0.825
 103: max:0.893, min:0.714, mean:0.828
 104: max:0.893, min:0.679, mean:0.827
 105: max:0.893, min:0.714, mean:0.830
 106: max:0.893, min:0.750, mean:0.834
 107: max:0.893, min:0.714, mean:0.839
 108: max:0.893, min:0.714, mean:0.831
 109: max:0.893, min:0.750, mean:0.841
 110: max:0.893, min:0.750, mean:0.843
 111: max:0.893, min:0.786, mean:0.851
 112: max:0.929, min:0.714, mean:0.852
 113: max:0.929, min:0.750, mean:0.855
 114: max:0.929, min:0.750, mean:0.859
 115: max:0.929, min:0.786, mean:0.865
 116: max:0.929, min:0.750, mean:0.868
 117: max:0.929, min:0.750, mean:0.868
 118: max:0.929, min:0.821, mean:0.883
 119: max:0.929, min:0.750, mean:0.883
 120: max:0.929, min:0.750, mean:0.880
 121: max:0.929, min:0.786, mean:0.884
 122: max:0.929, min:0.786, mean:0.880
 123: max:0.929, min:0.786, mean:0.875
 124: max:0.929, min:0.750, mean:0.879
 125: max:0.929, min:0.786, mean:0.884
 126: max:0.929, min:0.786, mean:0.884
 127: max:0.929, min:0.750, mean:0.883
 128: max:0.929, min:0.786, mean:0.888
 129: max:0.929, min:0.750, mean:0.885
 130: max:0.929, min:0.750, mean:0.888
 131: max:0.929, min:0.750, mean:0.887
 132: max:0.964, min:0.679, mean:0.886
 133: max:0.964, min:0.821, mean:0.896
 134: max:0.929, min:0.821, mean:0.893
 135: max:0.929, min:0.786, mean:0.888
 136: max:0.929, min:0.821, mean:0.896
 137: max:0.929, min:0.786, mean:0.894
 138: max:0.929, min:0.821, mean:0.887
 139: max:0.929, min:0.750, mean:0.888
 140: max:0.929, min:0.786, mean:0.891
 141: max:0.929, min:0.786, mean:0.885
 142: max:0.929, min:0.821, mean:0.893
 143: max:0.929, min:0.786, mean:0.886
 144: max:0.929, min:0.750, mean:0.876
 145: max:0.929, min:0.750, mean:0.881
 146: max:0.929, min:0.786, mean:0.880
 147: max:0.929, min:0.786, mean:0.885
 148: max:0.929, min:0.786, mean:0.888
 149: max:0.929, min:0.786, mean:0.888
 150: max:0.929, min:0.786, mean:0.892
 151: max:0.929, min:0.786, mean:0.890
 152: max:0.929, min:0.714, mean:0.890
