   1: max:0.179, min:0.036, mean:0.110
   2: max:0.214, min:0.107, mean:0.167
   3: max:0.250, min:0.107, mean:0.188
   4: max:0.250, min:0.179, mean:0.211
   5: max:0.250, min:0.179, mean:0.231
   6: max:0.286, min:0.179, mean:0.245
   7: max:0.286, min:0.179, mean:0.254
   8: max:0.321, min:0.214, mean:0.275
   9: max:0.357, min:0.214, mean:0.285
  10: max:0.393, min:0.250, mean:0.321
  11: max:0.393, min:0.250, mean:0.349
  12: max:0.429, min:0.321, mean:0.379
  13: max:0.464, min:0.321, mean:0.391
  14: max:0.500, min:0.357, mean:0.429
  15: max:0.500, min:0.357, mean:0.454
  16: max:0.536, min:0.357, mean:0.475
  17: max:0.571, min:0.393, mean:0.487
  18: max:0.571, min:0.429, mean:0.517
  19: max:0.607, min:0.464, mean:0.540
  20: max:0.607, min:0.464, mean:0.554
  21: max:0.643, min:0.464, mean:0.578
  22: max:0.679, min:0.500, mean:0.591
  23: max:0.679, min:0.500, mean:0.618
  24: max:0.679, min:0.536, mean:0.638
  25: max:0.679, min:0.571, mean:0.654
  26: max:0.679, min:0.571, mean:0.656
  27: max:0.714, min:0.571, mean:0.659
  28: max:0.714, min:0.571, mean:0.662
  29: max:0.750, min:0.536, mean:0.677
  30: max:0.750, min:0.607, mean:0.697
  31: max:0.750, min:0.643, mean:0.721
  32: max:0.750, min:0.643, mean:0.725
  33: max:0.750, min:0.643, mean:0.728
  34: max:0.750, min:0.607, mean:0.714
  35: max:0.750, min:0.607, mean:0.719
  36: max:0.786, min:0.643, mean:0.722
  37: max:0.786, min:0.607, mean:0.731
  38: max:0.786, min:0.643, mean:0.754
  39: max:0.821, min:0.679, mean:0.761
  40: max:0.821, min:0.679, mean:0.766
  41: max:0.821, min:0.714, mean:0.786
  42: max:0.821, min:0.714, mean:0.793
  43: max:0.821, min:0.714, mean:0.796
  44: max:0.821, min:0.714, mean:0.792
  45: max:0.821, min:0.679, mean:0.795
  46: max:0.821, min:0.714, mean:0.796
  47: max:0.857, min:0.714, mean:0.795
  48: max:0.857, min:0.714, mean:0.801
  49: max:0.857, min:0.679, mean:0.819
  50: max:0.893, min:0.750, mean:0.827
  51: max:0.893, min:0.714, mean:0.835
  52: max:0.893, min:0.679, mean:0.840
  53: max:0.893, min:0.786, mean:0.865
  54: max:0.893, min:0.750, mean:0.860
  55: max:0.893, min:0.714, mean:0.859
  56: max:0.893, min:0.786, mean:0.858
  57: max:0.929, min:0.750, mean:0.865
  58: max:0.929, min:0.786, mean:0.869
  59: max:0.929, min:0.750, mean:0.885
  60: max:0.929, min:0.821, mean:0.899
  61: max:0.929, min:0.786, mean:0.888
  62: max:0.929, min:0.786, mean:0.899
  63: max:0.929, min:0.786, mean:0.896
  64: max:0.929, min:0.786, mean:0.900
  65: max:0.929, min:0.786, mean:0.898
  66: max:0.929, min:0.786, mean:0.898
  67: max:0.964, min:0.786, mean:0.900
  68: max:0.964, min:0.821, mean:0.906
  69: max:0.964, min:0.821, mean:0.915
  70: max:0.964, min:0.821, mean:0.932
  71: max:0.964, min:0.821, mean:0.936
  72: max:0.964, min:0.821, mean:0.927
  73: max:0.964, min:0.821, mean:0.929
  74: max:0.964, min:0.821, mean:0.931
  75: max:0.964, min:0.821, mean:0.930
  76: max:0.964, min:0.821, mean:0.936
  77: max:0.964, min:0.821, mean:0.930
  78: max:0.964, min:0.786, mean:0.927
  79: max:0.964, min:0.786, mean:0.931
  80: max:0.964, min:0.857, mean:0.937
  81: max:0.964, min:0.821, mean:0.929
  82: max:0.964, min:0.857, mean:0.929
  83: max:0.964, min:0.857, mean:0.933
  84: max:0.964, min:0.821, mean:0.937
  85: max:0.964, min:0.821, mean:0.929
  86: max:0.964, min:0.857, mean:0.934
  87: max:0.964, min:0.857, mean:0.930
  88: max:1.000, min:0.786, mean:0.926
