   1: max:0.143, min:0.000, mean:0.061
   2: max:0.179, min:0.000, mean:0.073
   3: max:0.179, min:0.000, mean:0.086
   4: max:0.179, min:0.036, mean:0.099
   5: max:0.179, min:0.071, mean:0.111
   6: max:0.179, min:0.071, mean:0.121
   7: max:0.214, min:0.071, mean:0.133
   8: max:0.250, min:0.071, mean:0.142
   9: max:0.250, min:0.071, mean:0.151
  10: max:0.250, min:0.107, mean:0.160
  11: max:0.250, min:0.107, mean:0.176
  12: max:0.250, min:0.107, mean:0.191
  13: max:0.286, min:0.143, mean:0.200
  14: max:0.321, min:0.107, mean:0.210
  15: max:0.321, min:0.143, mean:0.227
  16: max:0.321, min:0.179, mean:0.236
  17: max:0.357, min:0.179, mean:0.243
  18: max:0.321, min:0.179, mean:0.255
  19: max:0.357, min:0.179, mean:0.265
  20: max:0.357, min:0.179, mean:0.268
  21: max:0.357, min:0.214, mean:0.279
  22: max:0.393, min:0.179, mean:0.292
  23: max:0.393, min:0.214, mean:0.305
  24: max:0.393, min:0.214, mean:0.310
  25: max:0.393, min:0.250, mean:0.314
  26: max:0.393, min:0.214, mean:0.323
  27: max:0.393, min:0.214, mean:0.325
  28: max:0.357, min:0.214, mean:0.320
  29: max:0.393, min:0.214, mean:0.322
  30: max:0.393, min:0.214, mean:0.326
  31: max:0.393, min:0.250, mean:0.330
  32: max:0.393, min:0.250, mean:0.339
  33: max:0.393, min:0.286, mean:0.346
  34: max:0.393, min:0.286, mean:0.349
  35: max:0.393, min:0.286, mean:0.347
  36: max:0.393, min:0.250, mean:0.350
  37: max:0.393, min:0.250, mean:0.351
  38: max:0.393, min:0.286, mean:0.357
  39: max:0.393, min:0.286, mean:0.360
  40: max:0.429, min:0.286, mean:0.367
  41: max:0.429, min:0.286, mean:0.367
  42: max:0.429, min:0.321, mean:0.370
  43: max:0.429, min:0.286, mean:0.371
  44: max:0.429, min:0.286, mean:0.373
  45: max:0.500, min:0.250, mean:0.384
  46: max:0.429, min:0.286, mean:0.392
  47: max:0.464, min:0.321, mean:0.398
  48: max:0.500, min:0.286, mean:0.402
  49: max:0.464, min:0.286, mean:0.411
  50: max:0.500, min:0.321, mean:0.416
  51: max:0.500, min:0.321, mean:0.418
  52: max:0.500, min:0.321, mean:0.417
  53: max:0.500, min:0.286, mean:0.424
  54: max:0.500, min:0.357, mean:0.440
  55: max:0.500, min:0.357, mean:0.439
  56: max:0.500, min:0.321, mean:0.436
  57: max:0.500, min:0.321, mean:0.438
  58: max:0.500, min:0.357, mean:0.443
  59: max:0.500, min:0.286, mean:0.450
  60: max:0.536, min:0.357, mean:0.459
  61: max:0.536, min:0.357, mean:0.457
