 146: max:0.929, min:0.821, mean:0.890
 147: max:0.929, min:0.786, mean:0.895
 148: max:0.929, min:0.786, mean:0.887
 149: max:0.929, min:0.714, mean:0.886
 150: max:0.929, min:0.786, mean:0.890
 151: max:0.929, min:0.750, mean:0.895
 152: max:0.929, min:0.786, mean:0.893
 153: max:0.929, min:0.821, mean:0.891
 154: max:0.929, min:0.786, mean:0.891
 155: max:0.929, min:0.821, mean:0.891
 156: max:0.929, min:0.821, mean:0.889
 157: max:0.929, min:0.750, mean:0.882
 158: max:0.929, min:0.750, mean:0.886
 159: max:0.929, min:0.750, mean:0.883
 160: max:0.929, min:0.786, mean:0.893
 161: max:0.964, min:0.786, mean:0.887
 162: max:0.964, min:0.786, mean:0.895
 163: max:0.964, min:0.750, mean:0.896
 164: max:0.964, min:0.786, mean:0.904
 165: max:0.964, min:0.786, mean:0.907
 166: max:0.964, min:0.750, mean:0.908
 167: max:0.964, min:0.786, mean:0.909
 168: max:0.964, min:0.786, mean:0.910
 169: max:0.964, min:0.786, mean:0.915
 170: max:0.964, min:0.821, mean:0.914
 171: max:0.964, min:0.821, mean:0.916
 172: max:0.964, min:0.786, mean:0.920
 173: max:0.964, min:0.786, mean:0.927
 174: max:0.964, min:0.857, mean:0.932
 175: max:0.964, min:0.786, mean:0.923
 176: max:1.000, min:0.821, mean:0.926
