 146: max:0.643, min:0.500, mean:0.591
 147: max:0.679, min:0.500, mean:0.597
 148: max:0.679, min:0.500, mean:0.594
 149: max:0.679, min:0.464, mean:0.595
 150: max:0.679, min:0.500, mean:0.596
 151: max:0.679, min:0.464, mean:0.597
 152: max:0.679, min:0.500, mean:0.598
 153: max:0.679, min:0.429, mean:0.596
 154: max:0.679, min:0.500, mean:0.597
 155: max:0.679, min:0.500, mean:0.599
 156: max:0.679, min:0.500, mean:0.604
 157: max:0.679, min:0.500, mean:0.607
 158: max:0.679, min:0.429, mean:0.606
 159: max:0.679, min:0.464, mean:0.602
 160: max:0.679, min:0.500, mean:0.605
 161: max:0.679, min:0.500, mean:0.613
 162: max:0.679, min:0.500, mean:0.611
 163: max:0.714, min:0.536, mean:0.612
 164: max:0.714, min:0.500, mean:0.608
 165: max:0.679, min:0.500, mean:0.602
 166: max:0.679, min:0.500, mean:0.600
 167: max:0.643, min:0.500, mean:0.600
 168: max:0.643, min:0.500, mean:0.598
 169: max:0.643, min:0.536, mean:0.605
 170: max:0.643, min:0.464, mean:0.596
 171: max:0.643, min:0.500, mean:0.595
 172: max:0.643, min:0.464, mean:0.598
 173: max:0.643, min:0.500, mean:0.595
 174: max:0.679, min:0.464, mean:0.592
 175: max:0.643, min:0.464, mean:0.591
 176: max:0.643, min:0.464, mean:0.589
 177: max:0.643, min:0.464, mean:0.590
 178: max:0.679, min:0.500, mean:0.588
 179: max:0.679, min:0.500, mean:0.596
 180: max:0.679, min:0.500, mean:0.598
 181: max:0.679, min:0.464, mean:0.595
 182: max:0.679, min:0.500, mean:0.595
 183: max:0.679, min:0.464, mean:0.589
 184: max:0.643, min:0.464, mean:0.581
 185: max:0.679, min:0.464, mean:0.588
 186: max:0.643, min:0.464, mean:0.590
 187: max:0.643, min:0.464, mean:0.588
 188: max:0.643, min:0.500, mean:0.590
 189: max:0.643, min:0.464, mean:0.587
 190: max:0.643, min:0.393, mean:0.586
 191: max:0.643, min:0.429, mean:0.594
 192: max:0.643, min:0.500, mean:0.591
 193: max:0.643, min:0.500, mean:0.591
 194: max:0.643, min:0.464, mean:0.585
 195: max:0.643, min:0.500, mean:0.581
 196: max:0.643, min:0.464, mean:0.574
 197: max:0.643, min:0.464, mean:0.574
 198: max:0.643, min:0.429, mean:0.576
 199: max:0.643, min:0.500, mean:0.574
 200: max:0.643, min:0.464, mean:0.568
 201: max:0.714, min:0.464, mean:0.569
 202: max:0.714, min:0.464, mean:0.575
 203: max:0.714, min:0.464, mean:0.575
 204: max:0.714, min:0.464, mean:0.589
 205: max:0.714, min:0.464, mean:0.591
 206: max:0.714, min:0.464, mean:0.600
 207: max:0.714, min:0.464, mean:0.600
 208: max:0.714, min:0.464, mean:0.608
 209: max:0.714, min:0.464, mean:0.625
 210: max:0.714, min:0.536, mean:0.639
 211: max:0.714, min:0.536, mean:0.644
 212: max:0.714, min:0.536, mean:0.640
 213: max:0.714, min:0.500, mean:0.639
 214: max:0.750, min:0.536, mean:0.638
 215: max:0.750, min:0.536, mean:0.645
 216: max:0.750, min:0.500, mean:0.640
 217: max:0.750, min:0.536, mean:0.639
 218: max:0.750, min:0.571, mean:0.639
 219: max:0.750, min:0.464, mean:0.641
 220: max:0.714, min:0.500, mean:0.643
 221: max:0.714, min:0.571, mean:0.639
 222: max:0.679, min:0.536, mean:0.638
 223: max:0.679, min:0.500, mean:0.633
 224: max:0.679, min:0.536, mean:0.635
 225: max:0.679, min:0.571, mean:0.631
 226: max:0.679, min:0.536, mean:0.620
 227: max:0.714, min:0.429, mean:0.617
 228: max:0.714, min:0.464, mean:0.615
 229: max:0.714, min:0.500, mean:0.618
 230: max:0.679, min:0.536, mean:0.625
 231: max:0.679, min:0.500, mean:0.629
 232: max:0.714, min:0.536, mean:0.625
 233: max:0.679, min:0.500, mean:0.628
 234: max:0.679, min:0.536, mean:0.628
 235: max:0.679, min:0.536, mean:0.626
 236: max:0.679, min:0.536, mean:0.628
 237: max:0.679, min:0.536, mean:0.627
 238: max:0.679, min:0.536, mean:0.629
 239: max:0.679, min:0.500, mean:0.626
 240: max:0.679, min:0.500, mean:0.630
 241: max:0.679, min:0.536, mean:0.629
 242: max:0.679, min:0.536, mean:0.629
 243: max:0.679, min:0.500, mean:0.619
 244: max:0.679, min:0.464, mean:0.620
 245: max:0.679, min:0.500, mean:0.623
 246: max:0.679, min:0.536, mean:0.625
 247: max:0.679, min:0.500, mean:0.622
 248: max:0.679, min:0.500, mean:0.625
 249: max:0.679, min:0.500, mean:0.622
 250: max:0.679, min:0.500, mean:0.624
 251: max:0.714, min:0.536, mean:0.627
 252: max:0.714, min:0.500, mean:0.634
 253: max:0.714, min:0.500, mean:0.636
 254: max:0.714, min:0.536, mean:0.634
 255: max:0.714, min:0.536, mean:0.631
 256: max:0.714, min:0.500, mean:0.627
 257: max:0.714, min:0.500, mean:0.626
 258: max:0.714, min:0.500, mean:0.626
 259: max:0.714, min:0.536, mean:0.631
 260: max:0.714, min:0.536, mean:0.631
 261: max:0.750, min:0.536, mean:0.635
 262: max:0.750, min:0.500, mean:0.635
 263: max:0.750, min:0.500, mean:0.638
 264: max:0.750, min:0.536, mean:0.646
 265: max:0.714, min:0.536, mean:0.647
 266: max:0.714, min:0.536, mean:0.648
 267: max:0.714, min:0.536, mean:0.645
 268: max:0.714, min:0.536, mean:0.645
 269: max:0.714, min:0.536, mean:0.647
 270: max:0.714, min:0.500, mean:0.640
 271: max:0.714, min:0.536, mean:0.640
 272: max:0.714, min:0.571, mean:0.637
 273: max:0.714, min:0.500, mean:0.638
 274: max:0.714, min:0.500, mean:0.634
 275: max:0.679, min:0.536, mean:0.640
 276: max:0.679, min:0.571, mean:0.641
 277: max:0.679, min:0.571, mean:0.639
 278: max:0.714, min:0.571, mean:0.636
 279: max:0.714, min:0.500, mean:0.634
 280: max:0.679, min:0.464, mean:0.627
 281: max:0.679, min:0.536, mean:0.631
 282: max:0.679, min:0.536, mean:0.626
 283: max:0.679, min:0.500, mean:0.618
 284: max:0.679, min:0.536, mean:0.619
 285: max:0.679, min:0.536, mean:0.615
 286: max:0.679, min:0.500, mean:0.610
 287: max:0.679, min:0.536, mean:0.610
 288: max:0.679, min:0.500, mean:0.605
 289: max:0.679, min:0.500, mean:0.611
 290: max:0.679, min:0.500, mean:0.611
 291: max:0.679, min:0.464, mean:0.619
 292: max:0.679, min:0.500, mean:0.620
 293: max:0.679, min:0.464, mean:0.620
 294: max:0.679, min:0.500, mean:0.621
 295: max:0.679, min:0.500, mean:0.624
 296: max:0.679, min:0.536, mean:0.628
 297: max:0.679, min:0.536, mean:0.634
 298: max:0.679, min:0.536, mean:0.627
 299: max:0.679, min:0.500, mean:0.631
 300: max:0.679, min:0.500, mean:0.627
 301: max:0.679, min:0.500, mean:0.628
 302: max:0.679, min:0.536, mean:0.621
 303: max:0.679, min:0.536, mean:0.623
 304: max:0.679, min:0.536, mean:0.612
 305: max:0.679, min:0.500, mean:0.611
 306: max:0.679, min:0.500, mean:0.620
 307: max:0.679, min:0.464, mean:0.615
 308: max:0.679, min:0.464, mean:0.617
 309: max:0.679, min:0.500, mean:0.625
 310: max:0.679, min:0.536, mean:0.631
 311: max:0.679, min:0.536, mean:0.632
 312: max:0.679, min:0.500, mean:0.629
 313: max:0.679, min:0.536, mean:0.629
 314: max:0.679, min:0.500, mean:0.626
 315: max:0.714, min:0.500, mean:0.623
 316: max:0.714, min:0.536, mean:0.627
 317: max:0.714, min:0.429, mean:0.624
 318: max:0.714, min:0.464, mean:0.634
 319: max:0.714, min:0.500, mean:0.634
 320: max:0.714, min:0.500, mean:0.632
 321: max:0.714, min:0.536, mean:0.634
 322: max:0.714, min:0.464, mean:0.641
 323: max:0.750, min:0.571, mean:0.640
 324: max:0.714, min:0.500, mean:0.634
 325: max:0.714, min:0.464, mean:0.635
 326: max:0.714, min:0.536, mean:0.638
 327: max:0.714, min:0.536, mean:0.649
 328: max:0.714, min:0.500, mean:0.645
 329: max:0.714, min:0.536, mean:0.651
 330: max:0.714, min:0.571, mean:0.652
 331: max:0.714, min:0.536, mean:0.652
 332: max:0.714, min:0.536, mean:0.657
 333: max:0.714, min:0.500, mean:0.654
 334: max:0.714, min:0.536, mean:0.655
 335: max:0.714, min:0.500, mean:0.653
 336: max:0.714, min:0.571, mean:0.653
 337: max:0.714, min:0.464, mean:0.653
 338: max:0.714, min:0.536, mean:0.655
 339: max:0.714, min:0.500, mean:0.644
 340: max:0.714, min:0.536, mean:0.650
 341: max:0.714, min:0.536, mean:0.646
 342: max:0.714, min:0.536, mean:0.637
 343: max:0.714, min:0.536, mean:0.626
 344: max:0.714, min:0.500, mean:0.627
 345: max:0.714, min:0.500, mean:0.629
 346: max:0.714, min:0.464, mean:0.631
 347: max:0.714, min:0.536, mean:0.630
 348: max:0.714, min:0.429, mean:0.637
 349: max:0.714, min:0.500, mean:0.628
 350: max:0.714, min:0.429, mean:0.637
 351: max:0.714, min:0.536, mean:0.631
 352: max:0.714, min:0.571, mean:0.631
 353: max:0.714, min:0.536, mean:0.627
 354: max:0.679, min:0.464, mean:0.621
 355: max:0.679, min:0.536, mean:0.624
 356: max:0.679, min:0.500, mean:0.625
 357: max:0.679, min:0.536, mean:0.620
 358: max:0.679, min:0.536, mean:0.621
 359: max:0.679, min:0.500, mean:0.615
 360: max:0.679, min:0.536, mean:0.613
 361: max:0.679, min:0.464, mean:0.609
 362: max:0.679, min:0.536, mean:0.610
 363: max:0.679, min:0.500, mean:0.611
 364: max:0.679, min:0.500, mean:0.611
 365: max:0.679, min:0.500, mean:0.612
 366: max:0.679, min:0.500, mean:0.615
 367: max:0.679, min:0.500, mean:0.619
 368: max:0.679, min:0.500, mean:0.621
 369: max:0.679, min:0.464, mean:0.625
 370: max:0.679, min:0.536, mean:0.626
 371: max:0.679, min:0.500, mean:0.622
 372: max:0.679, min:0.500, mean:0.618
 373: max:0.679, min:0.500, mean:0.618
 374: max:0.679, min:0.500, mean:0.615
 375: max:0.679, min:0.464, mean:0.619
 376: max:0.714, min:0.500, mean:0.625
 377: max:0.714, min:0.500, mean:0.630
 378: max:0.679, min:0.500, mean:0.629
 379: max:0.679, min:0.536, mean:0.625
 380: max:0.679, min:0.500, mean:0.628
 381: max:0.679, min:0.429, mean:0.621
 382: max:0.679, min:0.500, mean:0.628
 383: max:0.679, min:0.500, mean:0.626
 384: max:0.679, min:0.536, mean:0.623
 385: max:0.679, min:0.536, mean:0.624
 386: max:0.679, min:0.536, mean:0.619
 387: max:0.679, min:0.500, mean:0.610
 388: max:0.679, min:0.500, mean:0.606
 389: max:0.679, min:0.500, mean:0.604
 390: max:0.679, min:0.500, mean:0.603
 391: max:0.679, min:0.500, mean:0.599
 392: max:0.679, min:0.464, mean:0.601
 393: max:0.679, min:0.500, mean:0.601
 394: max:0.714, min:0.500, mean:0.607
 395: max:0.714, min:0.500, mean:0.613
 396: max:0.714, min:0.500, mean:0.615
 397: max:0.679, min:0.464, mean:0.615
 398: max:0.679, min:0.536, mean:0.616
 399: max:0.679, min:0.536, mean:0.616
 400: max:0.679, min:0.500, mean:0.614
 401: max:0.679, min:0.464, mean:0.606
 402: max:0.679, min:0.500, mean:0.607
 403: max:0.714, min:0.536, mean:0.608
 404: max:0.750, min:0.500, mean:0.608
 405: max:0.750, min:0.500, mean:0.613
 406: max:0.750, min:0.500, mean:0.617
 407: max:0.750, min:0.536, mean:0.621
 408: max:0.750, min:0.500, mean:0.625
 409: max:0.750, min:0.536, mean:0.632
 410: max:0.750, min:0.500, mean:0.634
 411: max:0.714, min:0.500, mean:0.637
 412: max:0.714, min:0.500, mean:0.645
 413: max:0.714, min:0.500, mean:0.654
 414: max:0.714, min:0.571, mean:0.651
 415: max:0.714, min:0.536, mean:0.653
 416: max:0.714, min:0.500, mean:0.659
 417: max:0.714, min:0.464, mean:0.655
 418: max:0.714, min:0.536, mean:0.656
 419: max:0.714, min:0.536, mean:0.655
 420: max:0.714, min:0.536, mean:0.659
 421: max:0.714, min:0.536, mean:0.654
 422: max:0.714, min:0.536, mean:0.650
 423: max:0.714, min:0.536, mean:0.648
 424: max:0.714, min:0.536, mean:0.646
 425: max:0.714, min:0.536, mean:0.648
 426: max:0.714, min:0.571, mean:0.647
 427: max:0.750, min:0.536, mean:0.650
 428: max:0.750, min:0.571, mean:0.651
 429: max:0.750, min:0.536, mean:0.648
 430: max:0.750, min:0.536, mean:0.652
 431: max:0.750, min:0.500, mean:0.660
 432: max:0.750, min:0.536, mean:0.668
 433: max:0.714, min:0.536, mean:0.662
 434: max:0.750, min:0.536, mean:0.662
 435: max:0.750, min:0.500, mean:0.662
 436: max:0.714, min:0.571, mean:0.666
 437: max:0.714, min:0.536, mean:0.665
 438: max:0.714, min:0.536, mean:0.662
 439: max:0.714, min:0.571, mean:0.664
 440: max:0.714, min:0.536, mean:0.661
 441: max:0.714, min:0.500, mean:0.663
 442: max:0.714, min:0.536, mean:0.664
 443: max:0.714, min:0.536, mean:0.665
 444: max:0.750, min:0.500, mean:0.664
 445: max:0.714, min:0.536, mean:0.664
 446: max:0.750, min:0.536, mean:0.656
 447: max:0.714, min:0.500, mean:0.647
 448: max:0.714, min:0.500, mean:0.646
 449: max:0.714, min:0.536, mean:0.644
 450: max:0.714, min:0.500, mean:0.638
 451: max:0.714, min:0.500, mean:0.640
 452: max:0.714, min:0.500, mean:0.644
 453: max:0.750, min:0.536, mean:0.648
 454: max:0.714, min:0.536, mean:0.649
 455: max:0.714, min:0.500, mean:0.645
 456: max:0.714, min:0.536, mean:0.643
 457: max:0.714, min:0.536, mean:0.649
 458: max:0.750, min:0.536, mean:0.646
 459: max:0.714, min:0.536, mean:0.639
 460: max:0.714, min:0.500, mean:0.635
 461: max:0.714, min:0.536, mean:0.632
 462: max:0.714, min:0.536, mean:0.631
 463: max:0.714, min:0.536, mean:0.618
 464: max:0.714, min:0.464, mean:0.611
 465: max:0.714, min:0.464, mean:0.614
 466: max:0.714, min:0.500, mean:0.620
 467: max:0.679, min:0.500, mean:0.624
 468: max:0.679, min:0.500, mean:0.617
