 146: max:0.714, min:0.500, mean:0.651
 147: max:0.750, min:0.500, mean:0.643
 148: max:0.714, min:0.571, mean:0.640
 149: max:0.714, min:0.536, mean:0.644
 150: max:0.750, min:0.536, mean:0.647
 151: max:0.750, min:0.571, mean:0.653
 152: max:0.750, min:0.571, mean:0.655
 153: max:0.750, min:0.500, mean:0.651
 154: max:0.714, min:0.464, mean:0.646
 155: max:0.714, min:0.536, mean:0.656
 156: max:0.714, min:0.500, mean:0.651
 157: max:0.750, min:0.536, mean:0.660
 158: max:0.750, min:0.536, mean:0.662
 159: max:0.714, min:0.571, mean:0.669
 160: max:0.714, min:0.500, mean:0.665
 161: max:0.714, min:0.571, mean:0.667
 162: max:0.750, min:0.571, mean:0.660
 163: max:0.750, min:0.571, mean:0.658
 164: max:0.750, min:0.536, mean:0.656
 165: max:0.750, min:0.536, mean:0.657
 166: max:0.750, min:0.500, mean:0.667
 167: max:0.750, min:0.571, mean:0.672
 168: max:0.750, min:0.571, mean:0.676
 169: max:0.750, min:0.536, mean:0.669
 170: max:0.750, min:0.500, mean:0.657
 171: max:0.750, min:0.536, mean:0.656
 172: max:0.714, min:0.571, mean:0.655
 173: max:0.714, min:0.536, mean:0.650
 174: max:0.714, min:0.571, mean:0.650
 175: max:0.714, min:0.500, mean:0.650
 176: max:0.714, min:0.500, mean:0.651
 177: max:0.714, min:0.536, mean:0.657
 178: max:0.714, min:0.536, mean:0.650
 179: max:0.714, min:0.571, mean:0.647
 180: max:0.714, min:0.536, mean:0.644
 181: max:0.714, min:0.500, mean:0.633
 182: max:0.714, min:0.500, mean:0.628
 183: max:0.679, min:0.500, mean:0.626
 184: max:0.679, min:0.500, mean:0.635
 185: max:0.679, min:0.500, mean:0.633
 186: max:0.679, min:0.536, mean:0.633
 187: max:0.679, min:0.464, mean:0.631
 188: max:0.679, min:0.536, mean:0.629
 189: max:0.679, min:0.500, mean:0.629
 190: max:0.679, min:0.500, mean:0.620
 191: max:0.679, min:0.536, mean:0.627
 192: max:0.679, min:0.536, mean:0.624
 193: max:0.679, min:0.500, mean:0.624
 194: max:0.679, min:0.500, mean:0.615
 195: max:0.679, min:0.536, mean:0.622
 196: max:0.679, min:0.500, mean:0.615
 197: max:0.679, min:0.536, mean:0.618
 198: max:0.679, min:0.536, mean:0.617
 199: max:0.679, min:0.500, mean:0.620
 200: max:0.679, min:0.464, mean:0.610
 201: max:0.679, min:0.500, mean:0.609
 202: max:0.679, min:0.500, mean:0.606
 203: max:0.679, min:0.536, mean:0.610
 204: max:0.714, min:0.500, mean:0.608
 205: max:0.714, min:0.464, mean:0.612
 206: max:0.679, min:0.500, mean:0.614
 207: max:0.679, min:0.464, mean:0.611
 208: max:0.679, min:0.500, mean:0.620
 209: max:0.679, min:0.536, mean:0.613
 210: max:0.679, min:0.500, mean:0.605
 211: max:0.679, min:0.500, mean:0.610
 212: max:0.679, min:0.500, mean:0.614
 213: max:0.679, min:0.536, mean:0.620
 214: max:0.679, min:0.464, mean:0.613
 215: max:0.679, min:0.500, mean:0.618
 216: max:0.679, min:0.536, mean:0.617
 217: max:0.679, min:0.500, mean:0.616
 218: max:0.714, min:0.464, mean:0.614
 219: max:0.714, min:0.500, mean:0.614
 220: max:0.714, min:0.500, mean:0.613
 221: max:0.714, min:0.500, mean:0.613
 222: max:0.714, min:0.464, mean:0.617
 223: max:0.714, min:0.464, mean:0.619
 224: max:0.750, min:0.429, mean:0.617
 225: max:0.750, min:0.500, mean:0.619
 226: max:0.750, min:0.357, mean:0.625
 227: max:0.714, min:0.500, mean:0.626
 228: max:0.714, min:0.500, mean:0.639
 229: max:0.714, min:0.500, mean:0.636
 230: max:0.714, min:0.500, mean:0.643
 231: max:0.714, min:0.500, mean:0.646
 232: max:0.714, min:0.536, mean:0.647
 233: max:0.714, min:0.571, mean:0.643
 234: max:0.714, min:0.500, mean:0.642
 235: max:0.714, min:0.536, mean:0.646
 236: max:0.714, min:0.536, mean:0.650
 237: max:0.750, min:0.536, mean:0.653
 238: max:0.750, min:0.536, mean:0.652
 239: max:0.714, min:0.536, mean:0.653
 240: max:0.714, min:0.536, mean:0.657
 241: max:0.714, min:0.536, mean:0.654
 242: max:0.714, min:0.536, mean:0.651
 243: max:0.714, min:0.536, mean:0.649
 244: max:0.750, min:0.536, mean:0.648
 245: max:0.750, min:0.536, mean:0.650
 246: max:0.750, min:0.536, mean:0.646
 247: max:0.750, min:0.536, mean:0.653
 248: max:0.714, min:0.536, mean:0.648
 249: max:0.714, min:0.571, mean:0.650
 250: max:0.714, min:0.571, mean:0.651
 251: max:0.714, min:0.536, mean:0.639
 252: max:0.714, min:0.500, mean:0.645
 253: max:0.714, min:0.536, mean:0.640
 254: max:0.714, min:0.571, mean:0.643
 255: max:0.750, min:0.536, mean:0.642
 256: max:0.750, min:0.536, mean:0.645
 257: max:0.750, min:0.500, mean:0.651
 258: max:0.750, min:0.536, mean:0.660
 259: max:0.750, min:0.571, mean:0.667
 260: max:0.750, min:0.536, mean:0.668
 261: max:0.714, min:0.571, mean:0.660
 262: max:0.714, min:0.536, mean:0.654
 263: max:0.714, min:0.536, mean:0.659
 264: max:0.714, min:0.536, mean:0.661
 265: max:0.750, min:0.536, mean:0.664
 266: max:0.750, min:0.536, mean:0.661
 267: max:0.750, min:0.536, mean:0.660
 268: max:0.750, min:0.536, mean:0.659
 269: max:0.714, min:0.536, mean:0.658
 270: max:0.714, min:0.536, mean:0.659
 271: max:0.714, min:0.536, mean:0.655
 272: max:0.714, min:0.536, mean:0.654
 273: max:0.714, min:0.536, mean:0.650
 274: max:0.714, min:0.500, mean:0.645
 275: max:0.714, min:0.464, mean:0.656
 276: max:0.714, min:0.536, mean:0.649
 277: max:0.714, min:0.536, mean:0.642
 278: max:0.714, min:0.536, mean:0.641
 279: max:0.714, min:0.536, mean:0.641
 280: max:0.714, min:0.536, mean:0.642
 281: max:0.714, min:0.536, mean:0.640
 282: max:0.714, min:0.500, mean:0.636
 283: max:0.714, min:0.536, mean:0.644
 284: max:0.714, min:0.571, mean:0.645
 285: max:0.714, min:0.500, mean:0.642
 286: max:0.714, min:0.500, mean:0.639
 287: max:0.714, min:0.500, mean:0.631
 288: max:0.714, min:0.500, mean:0.635
 289: max:0.714, min:0.536, mean:0.642
 290: max:0.714, min:0.500, mean:0.636
 291: max:0.750, min:0.536, mean:0.641
 292: max:0.714, min:0.536, mean:0.641
 293: max:0.750, min:0.536, mean:0.645
 294: max:0.714, min:0.571, mean:0.646
 295: max:0.714, min:0.536, mean:0.651
 296: max:0.714, min:0.536, mean:0.652
 297: max:0.714, min:0.571, mean:0.654
 298: max:0.714, min:0.571, mean:0.657
 299: max:0.714, min:0.536, mean:0.653
 300: max:0.714, min:0.571, mean:0.656
 301: max:0.714, min:0.536, mean:0.661
 302: max:0.714, min:0.571, mean:0.660
 303: max:0.714, min:0.571, mean:0.659
 304: max:0.714, min:0.536, mean:0.659
 305: max:0.714, min:0.536, mean:0.660
 306: max:0.714, min:0.536, mean:0.656
 307: max:0.714, min:0.536, mean:0.661
 308: max:0.714, min:0.500, mean:0.659
 309: max:0.714, min:0.536, mean:0.657
